asin,title,rating,number_of_reviews,price,page,source
B0C8PR4W22,"Studio Pro - Premium Wireless Over-Ear Headphones- Up to 40-Hour Battery Life, Active Noise Cancelling, USB-C Lossless Audio, Apple & Android Compatible - Black",4.5,26900.0,199.95,4,Amazon
B074KBWVYT,Noise Cancelling Headphones WH1000XM2: Over Ear Wireless Bluetooth Headphones with Microphone - Hi Res Audio and Active Sound Cancellation - Gold (2017 model),4.5,2200.0,,5,Amazon
B09Z2S9FSX,WH-1000XM5 Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - Silver International Version,4.4,604.0,248.0,5,Amazon
B0GJ6ZQF4T,"WH-1000XM6 Wireless Noise Canceling Headphones (Blue) Foldable Over-Ear Bluetooth Headset | Hi-Res Audio, 30-Hour Battery, LDAC, Multipoint with USB Wall Adapter and Microfiber Cleaning Cloth",4.9,14.0,454.95,5,Amazon
B0CFT88WSL,"WH-CH520 Best Wireless Bluetooth On-Ear Headphones with Microphone for Calls and Voice Control, Up to 50 Hours Battery Life with Quick Charge Function, Includes USB-C Charging Cable - White",4.4,7000.0,,5,Amazon
B08TMTFR6B,"The Everyday Wireless Bluetooth Over Ear Headphones, with Active Noise Cancelling, Awareness Mode and Built in Microphone, IPX 4 Water Resistance, 40 Hours of Battery Life (Black)",4.5,4200.0,99.99,5,Amazon
B0F5H94ZPP,"Hybrid Active Noise Cancelling Headphones, Over-Ear Bluetooth Headphone with Hi-Res Audio, 60H Playtime, Deep Bass, Transparency Mode, Foldable Comfort Ear Cups, Ideal gift for Travel Office - Black",4.5,175.0,29.98,5,Amazon
B0FBTYSRQ3,Sony WH-1000XM6 The Best Wireless Noise Canceling Headphones - Black,4.3,78.0,299.99,5,Amazon
B0D14R85TZ,"Upgrade Pro‑level Hybrid Active Noise Cancelling Headphones with HD Sound, Wireless Bluetooth Headphones Over The Ear Unequaled Comfort, Vivid Deep Bass, for Home Office Travel Birthday Gift, Black",4.4,1800.0,18.98,5,Amazon
B0D5ZSRKTM,WHULT900N/B ULT Noise Cancelling Headphones with Wireless Noise Cancelling HE,4.6,5.0,148.0,5,Amazon
B0G64GBBRR,"Headphones with Active Noise Cancelling (ANC) Wireless Over Ear Bluetooth Headsets for Sports, Travel",4.1,38.0,,5,Amazon
B08HMWZBXC,"Q30 by Anker, Hybrid Active Noise Cancelling Headphones, Multiple Modes, Hi-Res Audio, Custom EQ via App, 50H Playtime, Comfortable Fit, Bluetooth, Multipoint Connection",4.4,93900.0,55.99,5,Amazon
B0F5VV4Y2N,"Y01 Wireless Noise Canceling Headphones Bluetooth 5.3 Over Ear Headphones with Microphone, Hi-Res Audio, 48H Playtime, Foldable Comfortable Earpads,Compatible with iOS,Android,PC, Starlight",4.4,511.0,37.9,5,Amazon
B0BV3DD3WL,Sony WH-XB910N Extra BASS Noise Cancelling Bluetooth Headphones (Renewed),4.5,24.0,164.9,5,Amazon
B09ZFD9CBB,WH-1000XM5B Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - International Version - Charcoal Black,4.3,2300.0,248.0,5,Amazon
B0FPCGMXJB,"HT3 Hybrid Noise Cancelling Headphones, 90H Battery Life Wireless Over Ear Bluetooth 6.0 Foldable Headset, AI Voice Assistant with 5 Mics, Connect 2 Devices and Hi-Res Sound, 32 EQ Audio Presets",4.6,2500.0,29.99,5,Amazon
B0DZHNWPKD,"Y8+ Hybrid Active Noise Cancelling Headphones, 100H Ultra Playtime, Bluetooth 6.0 Over Ear, Wireless Hi-Res Audio & Deep Bass, Comfort for Travel & Home Office, AI Chat & Custom EQ via APP, Black",4.4,1400.0,35.99,5,Amazon
B0DN49QCN5,WH-1000XM5 Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - Black,4.0,1.0,249.99,6,Amazon
B0F28LGLNS,"Active Noise Cancelling Headphones, Upgraded Wireless Bluetooth Headphones Over Ear with ENC Mic, HiFi Stereo Deep Bass, Noise Canceling Headphones Lightweight, BT 5.4, for Travel/Office/Home, Black",4.3,776.0,19.97,6,Amazon
B079GPFLT1,"Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over the Ear Headset with Mic for phone-call and Alexa voice control - Black, 8.71x2.72x10.28 inch",4.5,5700.0,,6,Amazon
B0BKPRTRXK,"Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones with Microphone, 70H Playtime, Foldable Headphone with HiFi Audio, Deep Bass for Home Travel Office",4.4,7200.0,21.99,6,Amazon
B0FDDK9G9W,WH-1000XM5 Wireless Noise Canceling Over-Ear Headphones (Black) Bundle with Bluetooth Audio Transmitter (2 Items),,,249.99,6,Amazon
B095BV8R27,"Million Sold Classic E7 Active Noise Cancelling Headphones with Upgraded HD Sound, Wireless Bluetooth Headphones Over The Ear Unequaled Comfort, Vivid Deep Bass, for Home Office Travel Birthday Gift",4.3,16400.0,46.99,6,Amazon
B0CS2MFXRS,"Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones with Microphone, Transparency Mode, 70H Playtime, Hi-Res Audio, Deep Bass, Bluetooth 5.3, Lightweight Design,Black",4.5,1300.0,18.99,6,Amazon
B07CP7S3XW,Sony CH700N Wireless Bluetooth Noise Cancelling Headphones - WH-CH700N/H (Renewed),4.4,197.0,109.77,6,Amazon
B0FDDGKCCB,WH-1000XM5 Wireless Noise Canceling Over-Ear Headphones (Silver) Bundle with Bluetooth Audio Transmitter (2 Items),,,249.99,6,Amazon
B09Z2QYYD1,WH-1000XM5 Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - Charcoal - International Version,4.5,1500.0,248.0,6,Amazon
B0B7BSFM56,WH-1000XM5 Wireless Noise Canceling Over-Ear Headphones (Black) Extra Bass Portable Bluetooth Speaker Bundle (2 Items),4.3,28.0,298.0,6,Amazon
B07RM8WQ8G,"WHXB900N Noise Cancelling Headphones, Wireless Bluetooth Over the Ear Headset with Mic for Phone-Call and Alexa Voice Control- Black (WH-XB900N/B)",4.6,8900.0,,6,Amazon
B0DQLWL9T3,"SoundForm Isolate Bluetooth Over-Ear Headphones - Hybrid Active Noise Cancelling Headphones - Wireless w/ 60H Playtime, Fast Charging & CloudCushion Ear Cups for Travel, Home, or Office - Sand",4.3,276.0,44.99,6,Amazon
